Cycle,Year,ACIS-I(erg/cm**2/s),ACIS-S(erg/cm**2/s)
3,2001,1.135E-13,7.633E-14
4,2002,1.146E-13,8.086E-14
5,2003,1.377E-13,1.028E-13
6,2004,1.342E-13,9.904E-14
7,2005,1.370E-13,9.362E-14
8,2006,1.284E-13,8.843E-14
9,2007,1.286E-13,8.840E-14
10,2008,1.336E-13,8.843E-14
11,2009,1.445E-13,9.605E-14
12,2010,1.432E-13,9.684E-14
13,2011,1.458E-13,9.722E-14
14,2012,1.461E-13,9.763E-14
15,2013,1.538E-13,1.068E-13
16,2014,1.672E-13,1.187E-13
17,2015,1.811E-13,1.328E-13
18,2016,1.874E-13,1.393E-13
19,2017,2.274E-13,1.610E-13
