"queriedName","foundName","obsid","sourceNumber","sourceRA","sourceDec"
"M31","M  31",308,14,10.7017285906,41.2563507118
"M31","M  31",308,15,10.7621550407,41.2563179781
"M31","M  31",308,16,10.7633474413,41.2577426362
"M31","M  31",308,17,10.6994839484,41.2591799638
"M31","M  31",308,18,10.5955924081,41.2598163244
"M31","M  31",308,19,10.7187977018,41.2611566691
"M31","M  31",308,20,10.679092682,41.2620119896
"M31","M  31",308,21,10.6665983135,41.2632649911
"M31","M  31",308,22,10.676895935,41.264965173
"M31","M  31",308,23,10.5895401789,41.267075178
"M31","M  31",308,24,10.7288211543,41.2675795976
"M31","M  31",308,25,10.6607348112,41.2677437084
"M31","M  31",308,26,10.7493935632,41.2683275676
"M31","M  31",308,27,10.6848303035,41.2688674706
"M31","M  31",308,28,10.6756624708,41.2689953515
"M31","M  31",308,29,10.6956330192,41.271033394
"M31","M  31",308,30,10.6878977714,41.2726941705
"M31","M  31",308,31,10.6296964113,41.2727001497
"M31","M  31",308,32,10.6964881279,41.2746085311
"M31","M  31",308,33,10.6827751862,41.2749422352
"M31","M  31",308,34,10.6822386775,41.2757143779
"M31","M  31",308,35,10.5653617997,41.2891347163
"M31","M  31",308,36,10.7663504772,41.301273046
"M31","M  31",308,37,10.5327704251,41.3042273539
"M31","M  31",308,38,10.5547806712,41.3101273147
"M31","M  31",308,39,10.7187961858,41.3151358769
"M31","M  31",308,40,10.6085429188,41.3208448053
"M31","M  31",308,41,10.7484763016,41.3220612497
"M31","M  31",308,42,10.9052039903,41.2457437235
"M31","M  31",314,1,10.66969531,40.8547491203
"M31","M  31",314,2,10.6771799656,40.864605307
"M31","M  31",314,3,10.5929528851,40.9902599764
"M31","M  31",314,4,10.5672823613,41.0196647559
"M31","M  31",314,5,10.5664532687,41.0206973599
"NGC 4472","M  49",321,1,187.342760911,7.89255448656
"NGC 4472","M  49",321,2,187.415343126,7.89250466559
"NGC 4472","M  49",321,3,187.347954005,7.89969370941
"NGC 4472","M  49",321,4,187.349511699,7.89992090889
"NGC 4472","M  49",321,5,187.43346549,7.92561271194
"NGC 4472","M  49",321,6,187.425991456,7.95054598872
"NGC 4472","M  49",321,7,187.432454989,7.9543249694
"NGC 4472","M  49",321,8,187.420850694,7.96232099224
"NGC 4472","M  49",321,9,187.455508748,7.96485895116
"NGC 4472","M  49",321,10,187.433740797,7.97803391373
"NGC 4472","M  49",321,11,187.424878216,7.9801028429
"NGC 4472","M  49",321,12,187.454216313,7.98096516396
"NGC 4472","M  49",321,13,187.393641135,7.98102448747
"NGC 4472","M  49",321,14,187.44202239,7.98765116677
"NGC 4472","M  49",321,15,187.417057006,7.99090463853
"NGC 4472","M  49",321,16,187.473747648,7.99393501904
"NGC 4472","M  49",321,17,187.431304711,7.99651120904
"NGC 4472","M  49",321,18,187.442927799,7.99693219224
"NGC 4472","M  49",321,19,187.437578579,7.99731077631
"NGC 4472","M  49",321,20,187.44548927,7.99873069287
"NGC 4472","M  49",321,21,187.444906878,7.99924046836
"NGC 4472","M  49",321,22,187.436079783,8.00021356883
"NGC 4472","M  49",321,23,187.444991088,8.00085860045
"NGC 4472","M  49",321,24,187.426321045,8.00222512134
"NGC 4472","M  49",321,25,187.46193469,8.00277407339
"NGC 4472","M  49",321,26,187.449146625,8.0030246854
"NGC 4472","M  49",321,27,187.459991551,8.00378004313
"NGC 4472","M  49",321,28,187.445868881,8.0037449866
"NGC 4472","M  49",321,29,187.423299927,8.00401535216
"NGC 4472","M  49",321,30,187.448626429,8.00739666439
"NGC 4472","M  49",321,31,187.39377467,8.0089441264
"NGC 4472","M  49",321,32,187.508629733,8.01396595354
"NGC 4472","M  49",321,33,187.439810225,8.01642907655
"NGC 4472","M  49",321,34,187.441277373,8.02420676932
"NGC 4472","M  49",321,35,187.469697257,8.03227032841
"NGC 4472","M  49",321,36,187.526152223,8.03426307862
"NGC 4472","M  49",321,37,187.387939963,8.03831993275
"NGC 4472","M  49",321,38,187.463150036,8.04033135887
"NGC 4472","M  49",321,39,187.433098104,8.04706695749
